prime_genre,count,mean,sd
Book,37,4.22972972972973,0.6830750995253682
Business,48,4.052083333333333,0.6782297305308037
Catalogs,5,4.2,0.570087712549569
Education,288,3.998263888888889,0.6026917898351103
Entertainment,408,3.700980392156863,0.8122520152169053
Finance,50,3.58,0.9332847412034899
Food & Drink,36,3.9166666666666665,0.8409178658720821
Games,2963,4.229328383395208,0.48575986663793524
Health & Fitness,139,4.287769784172662,0.6167305605349707
Lifestyle,92,3.7119565217391304,0.9499383891304805
Medical,14,4.25,0.8492077756084468
Music,118,4.114406779661017,0.5524267246499659
Navigation,25,4,0.5204164998665332
News,53,3.7547169811320753,0.6695480788549868
Photo & Video,287,4.132404181184669,0.7020664830027717
Productivity,152,4.177631578947368,0.5501592025361739
Reference,45,4.2444444444444445,0.5994526122584123
Shopping,93,4.102150537634409,0.6365632067772485
Social Networking,122,3.7254098360655736,0.7875646609066863
Sports,85,3.4235294117647057,0.8980994561033991
Travel,63,3.9285714285714284,0.7505758158237841
Utilities,185,3.7837837837837838,0.8352015877181447
Weather,54,4.027777777777778,0.5941274454051486
