epoch,validation_accuracy
0,-0.013484597206115723
1,0.0389554500579834
2,0.007063388824462891
3,0.03339040279388428
4,0.03210616111755371
5,0.011344194412231445
6,0.032748281955718994
7,0.0068492889404296875
8,0.019905805587768555
9,0.016909241676330566
10,0.016909241676330566
11,0.02654111385345459
12,0.013056516647338867
13,0.031035959720611572
14,0.022260308265685924
15,0.010273933410644531
16,0.01669520139694225
17,0.012414395809173695
18,0.019691824913024902
19,0.011130154132843018
20,0.015625
21,-0.007919549942016602
22,0.018621623516082764
23,-0.01177227497100819
24,0.004922926425933727
25,0.005136966705322266
26,-0.00428086519241333
27,0.005565047264099232
28,0.005779087543487549
29,0.022046267986297607
30,0.02226024866104137
31,-0.007919490337371715
32,-0.011772215366363525
33,0.017979443073272816
34,-0.004708886146545632
35,0.0006421208381653942
36,0.010702013969421387
37,0.007919549942016602
38,-0.006635248661041149
39,-0.0019263625144960717
40,0.0012843012809754528
41,-0.01840752363204967
42,0.00663524866104126
43,-0.011130094528198131
44,-0.006207168102264404
45,-0.0006421208381652832
46,0.018193483352661133
47,-0.0010702013969420276
48,0.0012842416763306774
49,0.0019263625144958496
50,0.007277369499206543
51,0.002354443073272816
52,0.006421208381652943
53,-0.010059893131255992
54,0.005137026309967152
55,0.0006421208381651722
56,-0.0006421208381653942
57,0.008347630500793457
58,0.0029965639114379883
59,-0.004280865192413441
60,0.007491469383239635
61,0.009631812572479248
62,-0.0012842416763305664
63,-0.0029965639114377662
64,0.0014982819557189941
65,0.00042808055877674445
66,-0.013056516647338978
67,0.0
68,0.010273993015289196
69,0.002354443073272594
70,0.002568483352661244
71,-0.005351066589355358
72,0.0021404027938842773
73,0.009417831897735596
74,-0.0010702013969422497
75,0.017337322235107533
76,0.01198631525039684
77,-0.007919490337371604
78,0.00042808055877674445
79,0.0077054500579833984
80,0.0017123222351073109
81,0.015625
82,-0.0006421804428101696
83,0.0006421208381651722
84,0.007063329219818226
85,0.010059893131255992
86,0.005351006984710804
87,-0.012628436088562012
88,-0.009203791618347168
89,0.02290242910385132
90,-0.00449484586715676
91,-0.013912677764892356
92,0.009631872177124023
93,0.00984591245651234
94,0.007919490337371604
95,0.008989691734313965
96,0.005136966705322377
97,-0.005136966705322377
98,0.0068492889404295765
99,0.005779087543487549
100,0.013270556926727406
